0	0|1;106|1;1711|1;2563|1
1	0|1
2	0|1;17|2;130|1;501|1;509|1;1025|2;1711|10;1900|1;2370|1;2436|1;2678|1
3	0|2;17|2;19|1;130|1;509|1;1711|2;2678|1
4	0|1;509|1;1711|2
5	0|1;501|1;509|3;514|1;936|1;1095|1;1558|1;1600|5;1701|1;1711|3;1803|2;1969|1;2426|1;2433|1;2496|2;2752|3
6	0|2;130|1;1664|1
7	0|2;130|1
8	1|1;3672|1
9	1|1;67|1;109|1;1208|1;2259|1;3672|1
10	1211|1;1634|1;1949|1
11	2|1;277|1;697|1;981|2;1505|1;1867|1
12	277|1;729|1
15	200|1
16	19|1;27|1;34|2;38|1;68|1;119|2;130|1;160|3;172|1;193|1;200|1;242|1;328|1;331|1;348|1;369|1;455|1;500|1;509|1;511|1;533|2;534|1;593|2;607|1;613|1;633|1;679|1;682|2;769|1;786|1;796|1;811|1;818|1;837|1;899|2;920|1;1005|3;1015|1;1069|2;1075|1;1088|2;1167|1;1182|4;1192|5;1193|1;1239|1;1250|1;1252|1;1301|4;1331|1;1434|2;1474|1;1514|4;1560|1;1701|1;1765|2;1870|1;1915|1;1964|1;1967|2;2057|2;2087|2;2113|2;2123|1;2158|1;2179|1;2317|3;2435|4;2440|1;2498|1;2523|1;2752|2;3113|1;3314|1
17	1687|1
19	25|1;29|1;59|1;79|1;150|2;164|2;199|2;218|1;225|1;227|1;338|3;364|1;382|1;390|1;496|1;517|1;584|4;731|3;734|1;954|1;1100|1;1105|6;1341|2;1417|2;1504|1;1907|1;1915|2;2065|1;2280|1;2407|1
20	382|1;731|2;954|1;1341|1;1915|2
21	4|1;35|1;125|1;180|1;456|1;607|3;620|1;868|1;1062|1;1239|2;1706|1;2179|1;2812|1;3677|1
22	4|1;35|1;180|1;198|2;575|1;607|10;682|1;971|1;1062|2;1063|1;1094|1;1117|1;1239|2;1706|1
23	4|1;125|1;198|1;575|1;607|5;682|1;868|1;971|1;1063|1;1094|1;1239|1
24	4|1;35|1;125|1;180|1;456|1;607|10;868|1;1062|1;1117|1;1239|2;1706|1;2179|1;2812|1;3677|1
25	130|5;177|2;217|1;430|1;638|3;828|1;852|3;856|6;902|1;984|1;1040|2;1173|1;1394|2;1627|1;2113|1;2114|1
26	130|2;430|1;2878|1
27	5|3;836|4;1401|4;1560|2;1651|1;1759|1;2215|1
28	5|3;216|1;829|1;836|6;948|1;1390|1;1401|2;1474|1;1560|2;1651|1;1759|1;2215|1
29	5|5;64|1;88|1;607|1;836|8;1167|1;1401|3;1560|2;1651|1;1697|1;1759|1;1861|1;2092|1;2215|1
30	6|2;130|1;171|2;172|2;328|1;407|1;1094|3;1393|1;2050|1;2382|1;2523|1
31	6|1;171|1;1094|2;2523|1
32	7|2
33	7|1
35	2027|1;2265|1;2275|1
37	43|1;64|1;66|5;75|4;134|1;148|1;174|1;253|1;323|1;327|1;328|1;342|1;390|1;393|2;403|2;446|4;587|1;593|2;680|1;681|1;703|1;712|1;735|1;765|1;770|1;796|1;857|2;879|2;982|2;1106|1;1707|1;1735|2;1800|1;1886|1;1974|3;2022|1;2150|1;2154|1;2468|1;2481|1;2598|2;2840|3;2851|1;3130|1;3314|1;3703|1;4077|1
38	72|1;1022|1;1030|1;1042|1;1094|2;1354|1;1374|1;2256|1;2343|1;3040|2
40	276|1;2343|1
41	8|2;160|2;508|1;607|1;1851|2
42	8|2;160|2;508|3;607|1;1851|4
43	10|1;24|1;130|3;197|2;218|3;285|1;291|1;332|2;395|1;398|1;453|1;611|1;619|3;624|1;647|1;650|1;795|2;839|1;1002|1;1210|4;1508|1;1671|1;1692|1;2290|2;2456|2;3487|7;3695|1
44	10|1;24|1;130|1;197|1;218|2;291|1;398|1;453|1;619|1;624|1;647|1;650|1;839|1;1002|1;1210|3;1508|1;2290|1;2456|1;3487|6;3695|1
46	12|6;66|1;2022|1;2342|1;2413|1
47	10|10;20|1;24|1;85|1;129|2;130|7;144|1;164|1;218|2;222|18;293|1;361|2;428|21;441|5;453|10;588|1;622|1;624|1;650|1;662|1;681|1;719|1;727|1;782|1;826|1;1114|1;1174|4;1229|1;1240|1;1260|2;1354|1;1536|3;1592|2;1844|1;1919|1;1965|1;2407|4;2578|2;2865|1;3780|1
48	6|1;10|9;24|1;37|1;56|1;100|5;124|1;130|6;169|1;222|3;227|3;275|1;357|1;382|2;413|2;428|5;440|1;528|2;588|5;601|7;723|2;759|2;826|2;954|1;957|1;989|1;1085|1;1174|4;1260|1;1278|1;1536|1;1561|2;1897|8;1920|1;2214|1;2543|4;2729|1;2865|4;2910|3
49	10|2;24|5;56|1;169|1;413|1;428|1;453|1;515|1;601|6;759|1;826|2;888|1;1085|1;1144|1;1200|2;1260|2;1426|1;1536|3;1560|1;1561|3;1641|1;1852|2;1897|1;1965|3;2543|5;2578|3;2865|1;2910|5
50	11|4;51|2;130|2;314|1;532|1;814|3;1042|1;1152|1;1164|1;1646|2;1711|1;1810|1;2204|1;3867|1
